Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
XVZ,1421,0,0.00,1,37.24,37.59,597,824
PBUS,1415,0,0.00,260,36.22,38.01,1415,0
PJUL,1415,0,0.00,0,0.00,28.72,1415,0
EYLD,1341,0,0.00,0,0.00,33.90,1341,0
ALTS,1320,0,0.00,0,0.00,36.75,1320,0
KWT,1307,0,0.00,2,26.60,27.24,1307,0
FFHG,1275,0,0.00,1000,29.62,29.94,1275,0
FBCV,1262,0,0.00,5,22.95,23.81,1262,0
PMAR,1255,0,0.00,0,0.00,28.46,1255,0
DFEB,1246,0,0.00,0,0.00,32.22,1046,200
EUDV,1195,0,0.00,0,0.00,47.30,1195,0
EWUS,1194,0,0.00,80,37.64,42.72,1194,0
IBMM,1155,0,0.00,0,0.00,27.09,1155,0
JCPB,1150,0,0.00,0,0.00,55.81,1150,0
IMOM,1142,0,0.00,0,0.00,34.48,1142,0
IBMO,1125,0,0.00,0,0.00,27.07,1125,0
IYJ,1117,0,0.00,1,94.05,95.96,1117,0
VAMO,1085,0,0.00,0,0.00,19.24,1085,0
VMOT,1063,0,0.00,0,0.00,26.07,1063,0
IBML,1059,0,0.00,0,0.00,26.19,1059,0
EWGS,1046,0,0.00,0,0.00,75.52,1046,0
IBMN,1002,0,0.00,0,0.00,28.18,1002,0
HYHG,975,0,0.00,0,0.00,62.12,875,100
GCOW,971,0,0.00,0,0.00,28.69,971,0
XSHD,968,3,20.59,10,19.62,19.88,968,0
PNOV,943,800,29.21,0,0.00,28.91,943,0
SULR,936,0,0.00,0,0.00,29.96,936,0
TBJL,929,0,0.00,0,0.00,24.50,929,0
POCT,918,0,0.00,0,0.00,27.81,918,0
SECT,914,0,0.00,0,0.00,34.84,914,0
WUGI,912,10,52.80,0,0.00,49.62,912,0
DDLS,866,0,0.00,0,0.00,30.91,866,0
FRDM,864,0,0.00,10,30.50,31.84,864,0
GAA,846,0,0.00,0,0.00,29.06,846,0
LVHI,827,0,0.00,0,0.00,23.62,827,0
NOCT,823,0,0.00,0,0.00,36.16,823,0
USEP,821,0,0.00,0,0.00,27.02,821,0
FIBR,791,0,0.00,0,0.00,102.26,791,0
IBHA,767,0,0.00,0,0.00,24.22,267,500
EFAD,761,0,0.00,0,0.00,43.85,761,0
SFHY,748,0,0.00,0,0.00,49.25,748,0
ALFA,734,0,0.00,2,75.63,76.97,734,0
NULC,722,0,0.00,0,0.00,34.49,722,0
VFMV,721,0,0.00,0,0.00,88.68,518,203
FLQM,704,0,0.00,0,0.00,37.57,697,7
IGHG,692,325,76.00,0,0.00,75.44,692,0
OUSM,670,0,0.00,0,0.00,30.81,670,0
XMPT,656,0,0.00,0,0.00,28.10,656,0
FFTI,625,0,0.00,0,0.00,24.38,625,0
GMOM,625,0,0.00,0,0.00,26.00,625,0
BFEB,616,0,0.00,0,0.00,27.16,616,0
IBHC,614,0,0.00,0,0.00,24.34,614,0
HEGD,605,0,0.00,0,0.00,16.64,605,0
IBHD,604,0,0.00,0,0.00,24.29,604,0
AESR,603,0,0.00,0,0.00,11.89,603,0
IVAL,602,0,0.00,0,0.00,27.54,602,0
IQM,594,0,0.00,0,0.00,43.03,594,0
TILT,585,0,0.00,0,0.00,143.63,585,0
FLV,569,0,0.00,0,0.00,53.81,569,0
IBHB,530,0,0.00,0,0.00,24.24,530,0
EBLU,520,0,0.00,5,35.00,40.02,520,0
MSVX,500,0,0.00,0,0.00,24.28,500,0
MEAR,487,0,0.00,0,0.00,50.22,487,0
DFHY,484,0,0.00,0,0.00,25.21,484,0
ESG,481,0,0.00,11,88.00,90.79,481,0
VFVA,464,0,0.00,0,0.00,77.05,464,0
FAUG,456,0,0.00,0,0.00,34.61,456,0
FYLD,451,0,0.00,0,0.00,24.26,451,0
KJAN,450,0,0.00,0,0.00,28.93,450,0
NURE,450,0,0.00,0,0.00,26.61,450,0
IDHD,448,2,26.86,7,25.25,25.65,448,0
YDEC,416,0,0.00,0,0.00,20.26,416,0
PBEE,409,0,0.00,0,0.00,28.19,409,0
PAUG,401,200,29.36,0,0.00,28.23,401,0
BBSA,400,0,0.00,0,0.00,26.14,400,0
DURA,400,0,0.00,0,0.00,28.30,400,0
FNOV,400,0,0.00,0,0.00,35.16,400,0
PBND,400,0,0.00,0,0.00,26.62,400,0
IGEB,382,0,0.00,0,0.00,55.19,382,0
IVRA,376,0,0.00,0,0.00,11.65,376,0
FFEB,375,0,0.00,0,0.00,33.02,375,0
VFQY,375,0,0.00,2,97.55,98.70,375,0
DBOC,369,0,0.00,50,25.52,27.17,369,0
COWZ,361,0,0.00,0,0.00,33.27,361,0
GHYG,360,0,0.00,2,50.50,50.67,360,0
HELX,352,0,0.00,1,43.00,44.29,349,3
FOCT,340,0,0.00,0,0.00,31.50,340,0
TDV,340,0,0.00,40,51.85,52.21,140,200
IVLC,331,0,0.00,0,0.00,12.04,331,0
IVSG,325,0,0.00,0,0.00,12.06,325,0
BUFF,319,0,0.00,0,0.00,33.18,319,0
IVDG,315,0,0.00,1,11.77,11.84,314,1
IPFF,308,1,15.49,10,9.80,15.47,308,0
GDVD,304,0,0.00,0,0.00,31.38,304,0
BMAR,300,0,0.00,0,0.00,29.62,300,0
NJUL,300,0,0.00,0,0.00,44.62,300,0
SPMV,300,0,0.00,0,0.00,33.71,300,0
TFJL,300,0,0.00,0,0.00,24.26,300,0
BJUL,297,0,0.00,0,0.00,30.03,297,0
FFTG,293,0,0.00,0,0.00,28.45,293,0
IECS,289,0,0.00,0,0.00,30.81,289,0
LQDI,254,0,0.00,0,0.00,29.13,254,0
PSMB,243,0,0.00,0,0.00,15.11,243,0
GOAT,240,0,0.00,0,0.00,34.55,240,0
TTAC,239,0,0.00,0,0.00,46.09,239,0
VFLQ,218,0,0.00,0,0.00,92.96,218,0
GTIP,216,12,59.20,0,0.00,57.21,216,0
VIRS,215,300,28.00,0,0.00,27.89,215,0
IGRO,214,0,0.00,0,0.00,63.52,214,0
LEAD,212,10,50.00,0,0.00,47.21,212,0
DNOV,211,0,0.00,0,0.00,33.17,211,0
HYXU,203,0,0.00,0,0.00,56.58,203,0
KJUL,200,0,0.00,0,0.00,25.83,200,0
PJUN,200,30,30.50,0,0.00,30.04,200,0
TCTL,196,0,0.00,0,0.00,30.16,196,0
PSMM,183,0,0.00,0,0.00,14.49,183,0
DIVB,182,0,0.00,0,0.00,32.80,182,0
IBMP,180,0,0.00,0,0.00,27.32,180,0
SHAG,173,0,0.00,0,0.00,51.39,173,0
FMAY,169,0,0.00,0,0.00,34.46,169,0
MRSK,164,0,0.00,0,0.00,27.81,164,0
RSXJ,160,0,0.00,0,0.00,36.10,160,0
LKOR,155,0,0.00,0,0.00,62.69,155,0
TAEQ,153,0,0.00,0,0.00,27.93,153,0
PEX,140,0,0.00,0,0.00,31.95,140,0
IEIH,131,0,0.00,2,30.84,32.30,131,0
PSMC,120,0,0.00,0,0.00,13.39,120,0
UDEC,117,0,0.00,0,0.00,28.44,117,0
BLDG,115,0,0.00,100,27.13,28.76,115,0
IEFN,108,0,0.00,1,24.20,25.14,108,0
THY,104,0,0.00,0,0.00,25.35,104,0
XVV,103,0,0.00,0,0.00,28.64,103,0
NUDM,102,0,0.00,0,0.00,29.53,102,0
WIL,102,0,0.00,0,0.00,80.98,102,0
JMUB,100,0,0.00,0,0.00,55.12,100,0
UFEB,100,0,0.00,0,0.00,25.96,100,0
UMAR,100,0,0.00,0,0.00,27.71,100,0
TSOC,98,0,0.00,0,0.00,28.09,83,15
VFMF,98,0,0.00,0,0.00,82.92,98,0
